,0,1,2,3,4,5,6,7,8,9,10,11
0,1622505600000,702.40,709.09,698.46,706.64,19606.908,1622507399999,13817848.88471,18603,9982.514,7037421.61151,0
1,1622507400000,706.80,721.00,705.75,717.93,19013.592,1622509199999,13583314.27825,23284,9513.129,6797891.89863,0
2,1622509200000,717.96,718.65,700.44,703.86,15435.676,1622510999999,10953840.49189,18815,6602.978,4685604.10747,0
3,1622511000000,703.91,706.07,695.00,696.61,12995.903,1622512799999,9116101.78747,13965,5887.171,4131399.76443,0
4,1622512800000,696.51,701.52,683.09,684.96,21906.441,1622514599999,15114489.69653,21777,9869.110,6807722.30258,0
5,1622514600000,684.88,691.59,684.16,690.11,10292.406,1622516399999,7091647.94596,11882,5360.907,3694553.28197,0
6,1622516400000,690.11,699.61,688.00,698.10,13301.100,1622518199999,9248852.89407,13865,7146.284,4967768.10373,0
7,1622518200000,698.05,698.05,685.31,690.82,13579.042,1622519999999,9378485.15988,14750,6641.106,4587026.13468,0
8,1622520000000,690.73,693.45,680.50,691.03,16465.087,1622521799999,11307703.48267,17569,7982.304,5483259.54126,0
9,1622521800000,691.09,693.65,688.92,689.86,8575.411,1622523599999,5933511.55921,9599,4272.991,2956858.22282,0
10,1622523600000,689.95,699.19,688.67,696.18,9601.990,1622525399999,6678254.97487,10709,4894.649,3404906.69620,0
11,1622525400000,696.02,705.80,696.02,702.47,11832.052,1622527199999,8311855.64951,13581,5831.595,4095938.93245,0
12,1622527200000,702.66,705.78,695.24,699.23,11751.004,1622528999999,8230501.42140,13476,5216.182,3654440.74290,0
13,1622529000000,699.33,699.33,690.51,695.55,11874.707,1622530799999,8237612.44579,12766,5844.653,4055785.84217,0
14,1622530800000,695.57,700.08,690.88,691.00,9468.955,1622532599999,6577080.42344,11825,4844.078,3364988.73054,0
15,1622532600000,691.03,695.33,688.84,693.52,8286.871,1622534399999,5735999.28213,10272,4165.315,2883010.41225,0
16,1622534400000,693.47,698.81,675.72,677.44,24755.561,1622536199999,16904349.52621,25890,11687.743,7982222.52497,0
17,1622536200000,677.43,679.19,670.67,677.18,18223.605,1622537999999,12303670.85864,21504,8706.613,5879942.39716,0
18,1622538000000,677.18,684.36,673.88,674.34,11542.840,1622539799999,7846420.35861,14608,5922.400,4026225.50574,0
19,1622539800000,674.35,680.83,671.27,678.19,12755.208,1622541599999,8623610.39356,15186,7029.890,4753879.02414,0
20,1622541600000,678.34,686.99,674.03,686.59,12620.204,1622543399999,8598991.35995,13801,6703.654,4567276.45704,0
21,1622543400000,686.78,689.13,682.10,686.14,8617.385,1622545199999,5905753.72807,10937,4570.636,3133239.43737,0
22,1622545200000,686.14,689.55,682.01,686.83,8530.357,1622546999999,5853505.65689,10736,3974.712,2727871.18133,0
23,1622547000000,686.89,690.00,686.60,689.11,6568.833,1622548799999,4520708.88802,7920,3310.541,2278782.38816,0
24,1622548800000,689.10,689.10,676.12,678.37,12445.737,1622550599999,8484211.79898,14603,5691.998,3877611.82459,0
25,1622550600000,678.41,682.56,675.11,675.97,7019.247,1622552399999,4768780.84166,9168,3419.673,2323858.11940,0
26,1622552400000,675.98,684.97,667.72,683.35,20171.669,1622554199999,13591073.95122,22766,10155.546,6841851.25396,0
27,1622554200000,683.35,697.29,682.78,694.58,21616.938,1622555999999,14945217.04018,21815,10967.647,7581654.92507,0
28,1622556000000,694.70,701.40,687.62,690.87,16405.422,1622557799999,11377541.62920,20422,8358.497,5798946.52043,0
29,1622557800000,690.76,694.60,684.00,686.67,11012.472,1622559599999,7590443.58811,15440,5246.332,3616201.96194,0
30,1622559600000,686.66,686.79,679.09,682.20,10242.555,1622561399999,6987497.63915,14424,5146.538,3511298.79934,0
31,1622561400000,682.24,682.35,675.17,679.46,9252.380,1622563199999,6279103.18961,12066,4982.966,3382327.55758,0
32,1622563200000,679.49,683.38,674.23,681.80,13903.763,1622564999999,9438815.90882,16584,7075.403,4802965.20332,0
33,1622565000000,681.73,683.55,673.00,676.13,10740.791,1622566799999,7280571.94088,14300,4919.890,3334789.62763,0
34,1622566800000,676.13,677.97,672.25,674.82,7226.105,1622568599999,4882284.45314,10604,3423.335,2312727.07117,0
35,1622568600000,674.73,683.18,673.49,680.83,9270.893,1622570399999,6299375.96997,11390,4920.060,3342095.00632,0
36,1622570400000,680.85,683.96,678.77,681.96,6078.226,1622572199999,4141924.18838,8331,3273.890,2231110.08711,0
37,1622572200000,682.08,684.74,680.14,682.44,5117.752,1622573999999,3495457.73782,7839,2573.512,1757947.37664,0
38,1622574000000,682.58,682.92,677.09,680.31,8202.720,1622575799999,5578937.08468,10280,3913.245,2661425.61722,0
39,1622575800000,680.27,680.70,672.31,676.69,8446.140,1622577599999,5710911.51956,11367,4483.361,3032289.36135,0
40,1622577600000,676.54,683.64,675.21,682.71,6423.594,1622579399999,4372216.80699,9004,3379.563,2300546.01278,0
41,1622579400000,682.72,684.65,680.76,683.92,3639.890,1622581199999,2485657.43680,6069,1820.560,1243315.27479,0
42,1622581200000,683.93,685.00,681.13,683.73,3878.898,1622582999999,2650672.57691,5918,2034.430,1390483.38227,0
43,1622583000000,683.74,686.89,679.88,686.06,5281.120,1622584799999,3610255.87108,6297,2400.647,1640878.68952,0
44,1622584800000,686.20,688.47,681.43,683.74,12022.422,1622586599999,8236919.65709,12630,5892.023,4037897.57531,0
45,1622586600000,683.65,686.68,679.77,684.32,13241.624,1622588399999,9038608.71042,13669,6423.099,4384534.31750,0
46,1622588400000,684.37,692.79,684.37,691.50,11619.040,1622590199999,8011965.06566,13120,6045.565,4168979.01253,0
47,1622590200000,691.41,692.74,687.94,690.85,9051.199,1622591999999,6250684.44581,10372,4484.372,3097066.62929,0
48,1622592000000,690.88,695.94,680.45,684.48,17297.332,1622593799999,11910713.03708,18546,8547.170,5888487.52688,0
49,1622593800000,684.40,689.23,678.70,681.42,11108.074,1622595599999,7600477.29223,12744,5439.493,3721666.37535,0
50,1622595600000,681.50,684.62,673.43,675.52,13413.279,1622597399999,9087386.59679,15209,6074.523,4116775.45452,0
51,1622597400000,675.53,684.07,675.52,683.72,6612.048,1622599199999,4493054.70598,9754,3390.576,2303899.90178,0
52,1622599200000,683.94,689.33,681.02,688.52,9373.485,1622600999999,6426195.08168,12160,4516.513,3098230.70748,0
53,1622601000000,688.53,689.71,682.00,682.26,6823.174,1622602799999,4685818.67039,9213,2869.470,1970689.71411,0
54,1622602800000,682.24,692.58,682.24,688.79,11659.020,1622604599999,8033337.34550,12565,6087.944,4194161.73757,0
55,1622604600000,688.52,690.22,684.40,685.83,5156.848,1622606399999,3542636.98789,7009,2422.446,1665102.20994,0
56,1622606400000,685.53,690.41,685.52,689.85,7118.831,1622608199999,4898879.25588,7590,3327.730,2290672.66623,0
57,1622608200000,690.04,690.73,685.05,686.38,6358.986,1622609999999,4368860.50629,7357,2973.099,2042974.57388,0
58,1622610000000,686.45,689.24,684.16,684.30,6149.339,1622611799999,4219495.15705,7777,3019.847,2072374.16002,0
59,1622611800000,684.36,688.46,681.33,686.77,7452.126,1622613599999,5105479.78908,8767,3655.631,2505007.29704,0
60,1622613600000,686.84,689.28,684.33,686.53,7267.957,1622615399999,4993362.51187,8050,3451.083,2371485.57161,0
61,1622615400000,686.52,686.53,682.57,683.48,6767.478,1622617199999,4629731.47238,6935,2998.010,2051545.85530,0
62,1622617200000,683.49,695.16,683.25,691.68,12356.103,1622618999999,8533569.76182,12464,6735.679,4652192.80601,0
63,1622619000000,691.81,697.70,691.81,696.04,9775.530,1622620799999,6802287.84356,11594,5278.520,3673083.16166,0
64,1622620800000,695.93,697.73,692.42,694.01,8029.924,1622622599999,5582995.28920,10066,4067.541,2828518.64951,0
65,1622622600000,694.01,700.64,693.31,700.01,9461.887,1622624399999,6604984.89509,10745,5543.895,3869822.89013,0
66,1622624400000,700.03,702.65,696.72,699.30,9706.908,1622626199999,6789576.62167,13231,4472.128,3129128.49406,0
67,1622626200000,699.28,702.48,697.93,698.72,7202.620,1622627999999,5040978.99124,11765,3313.966,2319561.99029,0
68,1622628000000,698.66,700.93,696.00,700.48,5934.125,1622629799999,4144837.78414,10325,2917.130,2037846.88288,0
