,0,1,2,3,4,5,6,7,8,9,10,11
0,1622505600000,37244.36,37744.00,37100.00,37714.16,18092.906,1622507399999,678644059.14895,146704,9762.312,366254350.30693,0
1,1622507400000,37714.16,37893.76,37542.19,37777.37,10069.859,1622509199999,379862851.01601,94406,5267.108,198735882.58120,0
2,1622509200000,37777.36,37787.94,37340.44,37488.12,9509.988,1622510999999,357345847.33647,87764,4209.282,158181992.77516,0
3,1622511000000,37488.12,37489.28,37159.19,37196.69,8607.197,1622512799999,321207086.54166,78723,4133.735,154274802.24504,0
4,1622512800000,37201.41,37296.83,36600.00,36775.63,17077.726,1622514599999,629887503.66779,146857,7681.336,283337131.14563,0
5,1622514600000,36775.62,36950.00,36694.00,36848.50,7991.130,1622516399999,294353891.43912,69713,4192.828,154462816.71391,0
6,1622516400000,36848.51,37118.71,36751.00,36859.51,9324.435,1622518199999,344597553.75160,80723,4919.523,181812156.70658,0
7,1622518200000,36859.52,36859.52,36458.48,36709.23,12743.825,1622519999999,466917548.92066,108893,5614.756,205762998.05469,0
8,1622520000000,36709.23,36845.00,36552.06,36844.98,8425.069,1622521799999,309205242.98941,74014,4421.668,162298932.38465,0
9,1622521800000,36844.84,36950.00,36720.00,36735.97,6236.882,1622523599999,229792401.80341,62315,3003.802,110684842.72512,0
10,1622523600000,36735.97,37047.59,36701.00,36960.02,6769.702,1622525399999,249805461.97728,66039,3588.810,132437339.95372,0
11,1622525400000,36960.02,37350.00,36946.54,37259.17,10171.605,1622527199999,378253932.67226,93158,5401.845,200874328.30430,0
12,1622527200000,37256.12,37430.00,37000.01,37106.94,12338.592,1622528999999,459347810.57088,100887,5786.171,215434295.20229,0
13,1622529000000,37106.94,37111.24,36700.00,36906.05,11710.945,1622530799999,431650388.83581,106110,5363.343,197683448.18332,0
14,1622530800000,36906.06,37159.95,36741.19,36753.33,10535.563,1622532599999,389036405.43361,98745,4926.506,181972501.66724,0
15,1622532600000,36753.33,36873.55,36616.00,36817.43,7843.318,1622534399999,288299947.87243,76369,4052.064,148965297.83047,0
16,1622534400000,36817.44,36937.92,36042.81,36168.00,26892.875,1622536199999,977620860.63799,218616,11931.276,433764839.49993,0
17,1622536200000,36168.05,36240.00,35895.00,36184.73,15785.946,1622537999999,569732602.17028,145317,7450.327,268987184.95476,0
18,1622538000000,36184.72,36342.66,36036.00,36065.46,10356.353,1622539799999,374908400.67198,99040,5193.661,188044832.72608,0
19,1622539800000,36066.10,36350.00,35958.29,36233.34,12593.100,1622541599999,455472693.22015,106367,6594.530,238526482.91098,0
20,1622541600000,36233.34,36455.42,36080.41,36433.86,12057.399,1622543399999,437959710.37965,102786,6582.325,239129508.70832,0
21,1622543400000,36433.91,36581.00,36208.00,36420.69,11641.112,1622545199999,423501820.83560,100585,5841.057,212541850.30816,0
22,1622545200000,36420.69,36666.00,36260.91,36563.78,10310.188,1622546999999,376250590.17529,91682,5272.009,192407370.98620,0
23,1622547000000,36563.79,36724.63,36520.52,36573.31,7436.299,1622548799999,272151451.84727,70018,3896.175,142612062.48194,0
24,1622548800000,36573.97,36576.61,36100.00,36217.14,14107.763,1622550599999,512086580.32640,133749,6433.662,233482963.69154,0
25,1622550600000,36215.73,36364.77,36110.00,36152.98,8567.259,1622552399999,310658373.23487,79320,4431.270,160701294.15269,0
26,1622552400000,36152.97,36639.11,35500.00,36516.55,31133.455,1622554199999,1121915591.65588,273665,15685.026,565700982.29409,0
27,1622554200000,36516.55,37462.79,36505.99,37040.38,44786.754,1622555999999,1658990777.82159,374927,22566.667,835734353.21759,0
