,0,1,2,3,4,5,6,7,8,9,10,11
0,1622505600000,6.628,6.756,6.572,6.674,5369758.9,1622507399999,35852961.7781,49171,2559826.8,17095955.7544,0
1,1622507400000,6.673,6.714,6.610,6.685,2047208.9,1622509199999,13626231.2817,29171,921625.9,6137331.9394,0
2,1622509200000,6.684,6.686,6.491,6.548,3248747.9,1622510999999,21411400.0285,33878,1369838.6,9024221.7149,0
3,1622511000000,6.547,6.547,6.478,6.495,2222433.4,1622512799999,14471751.2910,25200,1136538.5,7402557.3620,0
4,1622512800000,6.493,6.537,6.388,6.403,3350562.1,1622514599999,21589002.8831,33588,1498992.6,9657030.7628,0
5,1622514600000,6.402,6.460,6.396,6.442,1583317.3,1622516399999,10192358.8717,20573,786633.2,5064844.8421,0
6,1622516400000,6.443,6.520,6.419,6.479,2822192.2,1622518199999,18280804.2007,25080,1437522.4,9312815.2658,0
7,1622518200000,6.478,6.480,6.328,6.403,3345487.7,1622519999999,21397292.3230,29154,1499668.7,9590883.7012,0
8,1622520000000,6.403,6.430,6.360,6.428,2210751.2,1622521799999,14130886.5906,23918,1136166.4,7263697.9271,0
9,1622521800000,6.428,6.465,6.414,6.425,2200291.8,1622523599999,14175477.4279,21406,1056650.2,6809494.0605,0
10,1622523600000,6.425,6.500,6.405,6.488,1692660.5,1622525399999,10933933.5041,21815,867556.0,5603585.2592,0
11,1622525400000,6.487,6.567,6.482,6.522,2046467.6,1622527199999,13356903.1176,24609,1061010.5,6925282.7451,0
12,1622527200000,6.522,6.540,6.421,6.458,2642246.0,1622528999999,17119670.7100,24464,1084322.2,7029505.4267,0
13,1622529000000,6.458,6.460,6.390,6.433,2490823.6,1622530799999,15984770.5763,23385,1248615.3,8014133.5814,0
14,1622530800000,6.433,6.471,6.395,6.400,2259941.6,1622532599999,14532192.2965,21570,1006799.8,6475753.4691,0
15,1622532600000,6.401,6.440,6.372,6.431,1343698.1,1622534399999,8609397.7576,19433,698560.1,4476621.7561,0
16,1622534400000,6.431,6.475,6.200,6.231,6404701.7,1622536199999,40349871.1992,45470,2838425.4,17891786.6719,0
17,1622536200000,6.229,6.252,6.149,6.200,4792531.2,1622537999999,29682444.4034,40885,2275175.8,14094507.9415,0
18,1622538000000,6.200,6.248,6.134,6.143,4651648.0,1622539799999,28817767.6484,34944,2077230.2,12871850.8769,0
19,1622539800000,6.144,6.215,6.105,6.186,3266397.1,1622541599999,20131299.7190,32139,1807256.3,11145225.1314,0
20,1622541600000,6.187,6.273,6.162,6.254,2801186.0,1622543399999,17462665.4398,27908,1455272.8,9071840.2088,0
21,1622543400000,6.254,6.288,6.228,6.262,2128890.8,1622545199999,13312050.5099,22768,1032333.5,6457628.1228,0
22,1622545200000,6.262,6.296,6.211,6.277,2297287.0,1622546999999,14373236.4706,22959,1076277.1,6733452.8999,0
23,1622547000000,6.278,6.291,6.253,6.275,1824938.7,1622548799999,11446876.9606,21913,894893.8,5614800.9814,0
24,1622548800000,6.276,6.278,6.150,6.180,3292860.9,1622550599999,20420826.1008,33713,1563399.9,9698261.5118,0
25,1622550600000,6.180,6.224,6.154,6.164,1732041.1,1622552399999,10732847.4277,22258,837588.3,5191330.6889,0
26,1622552400000,6.163,6.250,6.060,6.231,4138586.8,1622554199999,25415663.1319,38767,2098380.8,12894024.0944,0
27,1622554200000,6.231,6.343,6.228,6.333,6123737.1,1622555999999,38552322.8317,47050,3192825.2,20105357.3549,0
28,1622556000000,6.333,6.365,6.238,6.272,4141888.1,1622557799999,26064013.9437,35880,2001688.2,12605297.3117,0
29,1622557800000,6.271,6.297,6.205,6.229,3243442.8,1622559599999,20286368.2582,26601,1692143.9,10589063.7697,0
30,1622559600000,6.228,6.230,6.145,6.195,3471704.8,1622561399999,21488107.3434,31316,1572702.4,9740127.7790,0
31,1622561400000,6.192,6.207,6.143,6.190,1951634.8,1622563199999,12054422.5858,22937,924883.7,5714409.7134,0
32,1622563200000,6.191,6.229,6.135,6.208,2674877.7,1622564999999,16533581.9340,27337,1274072.9,7877068.8424,0
33,1622565000000,6.208,6.231,6.124,6.151,2349340.2,1622566799999,14518384.2901,26140,1067855.0,6597012.4713,0
34,1622566800000,6.150,6.190,6.130,6.169,1453690.0,1622568599999,8954246.4972,20152,688863.1,4243775.4838,0
35,1622568600000,6.170,6.298,6.159,6.266,2514605.4,1622570399999,15714302.7468,25856,1397267.4,8731111.1018,0
36,1622570400000,6.267,6.279,6.236,6.252,1449985.1,1622572199999,9069442.7459,19317,654520.8,4094564.1169,0
37,1622572200000,6.251,6.299,6.226,6.277,1592345.6,1622573999999,9968314.3180,18860,790614.7,4950509.6642,0
38,1622574000000,6.277,6.278,6.190,6.212,1531935.6,1622575799999,9536183.7479,19803,651680.8,4056981.8675,0
39,1622575800000,6.213,6.225,6.139,6.171,1458195.4,1622577599999,8998446.1591,20553,660328.3,4075505.4269,0
40,1622577600000,6.173,6.248,6.160,6.244,1580840.0,1622579399999,9823728.2457,20776,803466.9,4993611.5882,0
41,1622579400000,6.243,6.262,6.212,6.260,1210794.4,1622581199999,7555992.3841,17715,679904.2,4244394.5378,0
42,1622581200000,6.260,6.268,6.228,6.242,727957.5,1622582999999,4550050.3920,15454,397839.6,2486994.1828,0
