,0,1,2,3,4,5,6,7,8,9,10,11
0,1619827200000,271.43,273.80,270.68,272.97,38691.429,1619828099999,10536686.93283,11727,19915.967,5424657.68244,0
1,1619828100000,272.93,273.76,271.73,273.30,26586.721,1619828999999,7259320.17703,8384,13150.718,3590997.07139,0
2,1619829000000,273.24,273.35,272.10,272.18,20700.518,1619829899999,5644146.32740,5936,9636.094,2627977.55158,0
3,1619829900000,272.19,273.08,270.60,271.08,26620.992,1619830799999,7232277.36834,8165,11970.687,3254182.34360,0
4,1619830800000,271.06,271.06,268.42,269.40,35979.311,1619831699999,9700030.52655,10698,15285.556,4121055.77840,0
5,1619831700000,269.40,270.80,269.39,270.56,16389.286,1619832599999,4429204.84092,4780,8554.276,2311806.90664,0
6,1619832600000,270.55,272.84,269.76,272.82,16063.004,1619833499999,4356832.67548,7338,9049.598,2454829.61445,0
7,1619833500000,272.74,272.79,270.66,271.08,31329.898,1619834399999,8508204.56097,9017,12218.251,3319107.17402,0
8,1619834400000,271.15,273.47,270.51,273.26,32464.084,1619835299999,8825480.46250,11687,16793.013,4567117.46485,0
9,1619835300000,273.24,274.66,273.24,274.32,31538.102,1619836199999,8641188.11595,11181,14454.583,3960900.47889,0
10,1619836200000,274.36,274.66,273.25,274.23,24156.376,1619837099999,6621083.09503,6633,11405.201,3125779.88496,0
11,1619837100000,274.23,274.36,272.59,273.32,32549.201,1619837999999,8897931.42804,8745,11936.573,3263273.04325,0
12,1619838000000,273.28,274.29,273.15,273.28,10732.432,1619838899999,2937772.88686,4834,5312.874,1454784.24880,0
13,1619838900000,273.28,274.21,273.25,273.69,13820.844,1619839799999,3780905.61108,4989,8413.370,2301648.84452,0
14,1619839800000,273.69,274.56,273.30,274.06,12454.307,1619840699999,3411628.90345,5400,5980.809,1638664.33289,0
15,1619840700000,274.07,275.20,273.92,274.52,21986.700,1619841599999,6040893.69794,7288,11821.950,3248253.41849,0
16,1619841600000,274.51,274.85,273.14,273.41,21398.662,1619842499999,5859233.82077,8001,9083.862,2487554.74135,0
17,1619842500000,273.41,274.05,272.93,273.39,14797.124,1619843399999,4044881.88205,5083,7056.335,1929289.92347,0
18,1619843400000,273.35,273.35,271.58,272.10,30027.821,1619844299999,8175065.15110,8538,11779.679,3208025.53227,0
19,1619844300000,272.10,273.05,271.54,272.65,15199.875,1619845199999,4141653.30469,5196,9714.390,2647278.97965,0
20,1619845200000,272.65,273.18,272.00,272.83,14530.898,1619846099999,3959603.82293,4781,5618.724,1531140.18184,0
21,1619846100000,272.79,274.83,272.65,273.98,27438.160,1619846999999,7518895.13294,8568,15423.281,4225879.59582,0
