,0,1,2,3,4,5,6,7,8,9,10,11
0,1619827200000,0.13246,0.13333,0.13150,0.13316,49341036,1619828099999,6543274.72401,9506,22463735,2980402.94285,0
1,1619828100000,0.13316,0.13316,0.13202,0.13263,33074259,1619828999999,4379283.99718,5583,13116889,1736814.00965,0
2,1619829000000,0.13264,0.13272,0.13138,0.13163,26330373,1619829899999,3473556.22077,5530,9043406,1193056.37264,0
3,1619829900000,0.13163,0.13211,0.13103,0.13146,25685291,1619830799999,3380706.24858,4614,11609615,1528495.95864,0
4,1619830800000,0.13144,0.13146,0.12982,0.13023,43146564,1619831699999,5628011.72189,7575,15035888,1961527.99633,0
5,1619831700000,0.13023,0.13095,0.13022,0.13069,24091341,1619832599999,3147172.05766,4067,12147646,1586939.15755,0
6,1619832600000,0.13068,0.13175,0.13045,0.13172,28428748,1619833499999,3726605.59493,4597,16068942,2106828.83375,0
7,1619833500000,0.13172,0.13212,0.13129,0.13210,20808469,1619834399999,2740809.43214,4584,10044804,1323468.85986,0
8,1619834400000,0.13210,0.13273,0.13189,0.13249,31963622,1619835299999,4231079.33409,5861,16432248,2175410.47275,0
9,1619835300000,0.13248,0.13317,0.13247,0.13317,23055628,1619836199999,3063658.31105,4518,11433806,1519606.57018,0
10,1619836200000,0.13318,0.13350,0.13250,0.13282,29123155,1619837099999,3873928.98675,5826,13865060,1844301.74679,0
11,1619837100000,0.13283,0.13290,0.13163,0.13210,30207163,1619837999999,3992774.74491,5435,11626923,1537236.16286,0
12,1619838000000,0.13210,0.13276,0.13209,0.13265,17168681,1619838899999,2274826.78631,3641,8231005,1090708.41292,0
13,1619838900000,0.13265,0.13377,0.13265,0.13368,21934812,1619839799999,2924496.67037,5934,12790902,1705352.83286,0
14,1619839800000,0.13371,0.13377,0.13275,0.13320,20727369,1619840699999,2761686.88088,4619,8989296,1197596.63760,0
15,1619840700000,0.13320,0.13345,0.13255,0.13334,17335247,1619841599999,2305666.04435,4181,8088829,1076259.43396,0
16,1619841600000,0.13334,0.13355,0.13268,0.13273,15390139,1619842499999,2047206.39903,3765,6620469,880986.78148,0
17,1619842500000,0.13275,0.13288,0.13176,0.13205,19992437,1619843399999,2644614.68861,4722,8416762,1113681.73351,0
18,1619843400000,0.13209,0.13216,0.13120,0.13132,24242491,1619844299999,3189882.67075,4798,9527490,1254003.77427,0
19,1619844300000,0.13132,0.13190,0.13125,0.13161,18579168,1619845199999,2443837.29490,3377,9605805,1263624.41387,0
20,1619845200000,0.13161,0.13189,0.13116,0.13187,19176846,1619846099999,2521809.82147,3868,9354426,1230492.69284,0
21,1619846100000,0.13188,0.13249,0.13179,0.13224,21521582,1619846999999,2844275.47900,4416,11795694,1558909.97977,0
22,1619847000000,0.13224,0.13270,0.13224,0.13240,14281572,1619847899999,1892126.62760,3256,6372271,844301.62093,0
23,1619847900000,0.13240,0.13300,0.13225,0.13296,20511234,1619848799999,2720926.75088,4398,9353860,1240657.26950,0
24,1619848800000,0.13295,0.13295,0.13180,0.13206,28986665,1619849699999,3830918.10450,5096,12918308,1707161.39725,0
25,1619849700000,0.13203,0.13256,0.13196,0.13239,16270149,1619850599999,2151833.09672,2659,9645866,1276085.00358,0
26,1619850600000,0.13239,0.13250,0.13155,0.13173,16017976,1619851499999,2113386.15481,3052,5269935,695636.31226,0
27,1619851500000,0.13173,0.13220,0.13134,0.13153,28816879,1619852399999,3795913.76579,4583,13029712,1716794.87203,0
28,1619852400000,0.13152,0.13214,0.13048,0.13076,39856563,1619853299999,5235207.12112,6907,17629156,2319112.06624,0
29,1619853300000,0.13076,0.13155,0.13071,0.13129,16066107,1619854199999,2108792.51560,3670,7719869,1013344.03427,0
30,1619854200000,0.13129,0.13168,0.13033,0.13037,51351534,1619855099999,6719988.53369,6172,26313731,3444159.57202,0
31,1619855100000,0.13036,0.13075,0.13000,0.13056,36730241,1619855999999,4786293.07155,6179,15886572,2070320.89986,0
32,1619856000000,0.13052,0.13139,0.13049,0.13106,20678996,1619856899999,2708879.96413,4870,10311782,1351099.15030,0
33,1619856900000,0.13105,0.13126,0.13051,0.13105,16054278,1619857799999,2100792.35490,3737,7522089,984312.64368,0
34,1619857800000,0.13105,0.13105,0.12915,0.12963,41797323,1619858699999,5427565.97242,7576,12741563,1654720.48213,0
35,1619858700000,0.12964,0.13031,0.12941,0.12953,33155944,1619859599999,4306715.38656,5236,16544353,2148740.27116,0
36,1619859600000,0.12950,0.12971,0.12745,0.12837,88940306,1619860499999,11432591.03774,14696,33406504,4297622.12996,0
37,1619860500000,0.12835,0.12952,0.12780,0.12930,29758174,1619861399999,3829805.36693,5899,15828135,2037901.51643,0
38,1619861400000,0.12934,0.13027,0.12928,0.13021,28599762,1619862299999,3715830.89340,5442,14995288,1947968.46607,0
39,1619862300000,0.13022,0.13022,0.12906,0.12978,20822063,1619863199999,2699484.18178,4614,9351429,1212218.59034,0
40,1619863200000,0.12979,0.12998,0.12917,0.12926,16313095,1619864099999,2112479.17171,3757,6619043,857149.63669,0
41,1619864100000,0.12922,0.12988,0.12876,0.12981,20686777,1619864999999,2674440.15861,4139,9429053,1219852.07830,0
42,1619865000000,0.12981,0.13010,0.12963,0.12995,21418827,1619865899999,2783437.30411,3681,10376885,1348555.81268,0
43,1619865900000,0.12995,0.13041,0.12965,0.12999,19103752,1619866799999,2484808.40499,3785,10514351,1368203.37097,0
44,1619866800000,0.13003,0.13070,0.13003,0.13064,17702843,1619867699999,2308099.25259,3579,9934766,1295575.70694,0
45,1619867700000,0.13064,0.13091,0.13050,0.13058,22669826,1619868599999,2962603.75879,3951,12206103,1595482.27918,0
46,1619868600000,0.13058,0.13085,0.13017,0.13038,19573974,1619869499999,2554829.91914,3687,8863032,1157120.38370,0
47,1619869500000,0.13037,0.13080,0.13035,0.13061,13835521,1619870399999,1806539.19293,3017,7567211,988042.26084,0
48,1619870400000,0.13060,0.13080,0.13030,0.13036,20866100,1619871299999,2722172.71792,4339,9667881,1261315.33756,0
49,1619871300000,0.13034,0.13039,0.13002,0.13030,15991685,1619872199999,2081975.28097,3260,7254537,944743.93125,0
50,1619872200000,0.13029,0.13043,0.12967,0.12981,24489872,1619873099999,3181907.07042,4117,9290738,1207492.90529,0
51,1619873100000,0.12981,0.13025,0.12960,0.12963,14612134,1619873999999,1898468.56441,3202,7146401,928759.15999,0
52,1619874000000,0.12963,0.13021,0.12960,0.12992,19211874,1619874899999,2496290.38439,3229,10468990,1360230.19910,0
53,1619874900000,0.12992,0.13025,0.12968,0.12988,11430976,1619875799999,1485732.93066,2828,6079849,790125.66370,0
54,1619875800000,0.12988,0.12988,0.12901,0.12920,34056174,1619876699999,4405963.34260,5115,10210606,1321174.56628,0
55,1619876700000,0.12921,0.12969,0.12915,0.12945,19668246,1619877599999,2546301.23326,3313,9542823,1235885.60953,0
56,1619877600000,0.12947,0.12959,0.12832,0.12879,34277260,1619878499999,4415582.67760,5804,12995942,1674792.21543,0
57,1619878500000,0.12879,0.12941,0.12877,0.12923,13704250,1619879399999,1769865.85381,3149,6701832,865644.20316,0
58,1619879400000,0.12923,0.12965,0.12881,0.12884,18266039,1619880299999,2359777.67321,3480,9135735,1180468.75971,0
59,1619880300000,0.12885,0.12927,0.12850,0.12863,17019925,1619881199999,2191615.12937,3214,7062908,909833.13645,0
