,0,1,2,3,4,5,6,7,8,9,10,11
0,1619827200000,1.6021,1.6300,1.5960,1.6032,67355619.6,1619828099999,108719206.83074,68890,34265435.4,55300304.47345,0
1,1619828100000,1.6031,1.6033,1.5912,1.5940,28592179.0,1619828999999,45650571.64320,27255,12752991.4,20360785.79792,0
2,1619829000000,1.5942,1.5970,1.5867,1.5909,14339802.7,1619829899999,22831985.70518,16373,6648416.2,10589438.94275,0
3,1619829900000,1.5909,1.5930,1.5762,1.5808,23739919.3,1619830799999,37591482.90788,24967,9552736.7,15132018.97191,0
4,1619830800000,1.5808,1.5812,1.5552,1.5687,48211921.0,1619831699999,75488903.88402,45274,22982873.3,35987650.41090,0
5,1619831700000,1.5687,1.5810,1.5687,1.5757,17734935.6,1619832599999,27943173.91747,17632,9122863.8,14374270.08278,0
6,1619832600000,1.5757,1.5908,1.5705,1.5899,16951610.4,1619833499999,26820899.74712,19392,8757090.3,13857392.53053,0
7,1619833500000,1.5897,1.5950,1.5850,1.5947,22797191.9,1619834399999,36262168.42710,21934,10946121.4,17415392.80491,0
8,1619834400000,1.5947,1.5954,1.5870,1.5910,16004294.6,1619835299999,25459661.82007,16997,6844940.6,10891048.83780,0
9,1619835300000,1.5909,1.6000,1.5908,1.5927,14973164.4,1619836199999,23877489.84341,17496,7358934.0,11738022.55159,0
10,1619836200000,1.5927,1.6109,1.5927,1.6020,23879759.1,1619837099999,38283734.20642,27212,12211273.3,19577883.95383,0
11,1619837100000,1.6020,1.6066,1.5954,1.6011,19358525.0,1619837999999,30983836.87638,18635,8973296.2,14366312.57455,0
12,1619838000000,1.6012,1.6039,1.5931,1.5978,14099143.9,1619838899999,22546075.32441,14712,5902400.2,9440605.82882,0
13,1619838900000,1.5974,1.5995,1.5867,1.5935,15516874.9,1619839799999,24717530.80889,16726,7765595.5,12372807.02047,0
14,1619839800000,1.5935,1.6032,1.5922,1.6018,12576919.1,1619840699999,20109855.55663,14317,6386449.8,10212504.18261,0
15,1619840700000,1.6018,1.6130,1.5970,1.5972,18122020.5,1619841599999,29056306.98347,21172,8735528.2,14009379.69644,0
16,1619841600000,1.5972,1.6060,1.5920,1.6004,15498507.0,1619842499999,24774280.18332,17746,7150536.5,11428882.75097,0
17,1619842500000,1.6005,1.6009,1.5934,1.5942,11992171.2,1619843399999,19151006.55055,12317,5375713.5,8585900.86712,0
18,1619843400000,1.5945,1.5956,1.5801,1.5860,22538381.5,1619844299999,35798948.32186,22707,9417679.6,14961542.19655,0
19,1619844300000,1.5860,1.5940,1.5820,1.5925,12647830.2,1619845199999,20097523.66001,13098,6969656.1,11075086.19643,0
20,1619845200000,1.5924,1.5933,1.5838,1.5889,11288849.8,1619846099999,17927258.40621,11597,4555026.4,7232613.93383,0
21,1619846100000,1.5889,1.5975,1.5870,1.5950,15698686.7,1619846999999,25015110.55178,15017,8040785.5,12812766.73320,0
22,1619847000000,1.5949,1.6020,1.5940,1.5940,12331718.9,1619847899999,19712204.22378,13580,5528573.4,8837577.25003,0
23,1619847900000,1.5940,1.6020,1.5921,1.5960,11714389.1,1619848799999,18700646.12268,13124,5703198.5,9105684.92715,0
24,1619848800000,1.5959,1.5987,1.5878,1.5982,12581852.3,1619849699999,20039936.28519,13811,5880339.1,9367609.11479,0
25,1619849700000,1.5982,1.6004,1.5918,1.5945,7662411.2,1619850599999,12227866.89138,8767,3919313.8,6253896.24021,0
26,1619850600000,1.5945,1.5948,1.5820,1.5822,14140603.2,1619851499999,22470228.09620,14787,5753882.1,9146486.10673,0
27,1619851500000,1.5822,1.5894,1.5801,1.5839,13215314.2,1619852399999,20942826.63711,14194,6343769.5,10054647.01963,0
28,1619852400000,1.5839,1.5903,1.5716,1.5730,27508462.1,1619853299999,43425661.91315,26184,9985572.1,15768129.95175,0
29,1619853300000,1.5730,1.5822,1.5726,1.5771,13116535.8,1619854199999,20703023.84744,13733,7108507.2,11220121.15049,0
30,1619854200000,1.5772,1.5835,1.5647,1.5672,20579479.0,1619855099999,32396085.01233,20919,8982502.8,14149309.28032,0
31,1619855100000,1.5672,1.5750,1.5634,1.5668,19616640.1,1619855999999,30780281.72737,19956,9230048.0,14488550.64226,0
32,1619856000000,1.5666,1.5764,1.5662,1.5717,17774637.0,1619856899999,27947889.19084,18603,9277869.5,14587509.85088,0
33,1619856900000,1.5716,1.5751,1.5666,1.5729,13869014.0,1619857799999,21787393.58840,14625,6934886.5,10895185.34682,0
34,1619857800000,1.5729,1.5761,1.5606,1.5621,19702807.3,1619858699999,30874997.67438,20244,8304371.9,13015827.75950,0
35,1619858700000,1.5618,1.5670,1.5503,1.5513,26160082.7,1619859599999,40781655.59660,28303,10145794.9,15823369.25584,0
36,1619859600000,1.5514,1.5520,1.5238,1.5381,62660380.7,1619860499999,96417779.14763,64086,28244119.8,43462435.57059,0
37,1619860500000,1.5380,1.5534,1.5331,1.5495,27967027.3,1619861399999,43198086.00388,26293,15797178.4,24398875.03714,0
38,1619861400000,1.5496,1.5620,1.5488,1.5606,23691105.0,1619862299999,36879044.07093,22931,12298098.5,19145422.78153,0
39,1619862300000,1.5605,1.5609,1.5430,1.5528,19474270.2,1619863199999,30212324.06061,19367,8052696.7,12493116.09566,0
40,1619863200000,1.5529,1.5573,1.5450,1.5498,16020597.2,1619864099999,24861807.77727,16616,7605190.5,11804075.93535,0
41,1619864100000,1.5499,1.5617,1.5463,1.5595,15294471.2,1619864999999,23779989.20143,16430,8260998.4,12849142.34791,0
